# observation_id: ca3ed6e2-7e49-11e9-9029-0a580a8003e9
# metadata: https://api.solarforecastarbiter.org/observations/ca3ed6e2-7e49-11e9-9029-0a580a8003e9/metadata
timestamp,value,quality_flag
20180101T18:45:00+0000,309.0,2
20180101T18:50:00+0000,301.0,2
20180101T18:55:00+0000,293.0,2
20180101T19:00:00+0000,283.0,2
20180101T19:05:00+0000,274.0,2
20180101T19:10:00+0000,265.0,2
20180101T19:15:00+0000,255.0,2
20180101T19:20:00+0000,245.0,2
20180101T19:25:00+0000,235.0,2
20180101T19:30:00+0000,225.0,514
20180101T19:35:00+0000,214.0,514
20180101T19:40:00+0000,204.0,514
20180101T19:45:00+0000,193.0,514
20180101T19:50:00+0000,158.0,2
20180101T19:55:00+0000,88.0,2
20180101T20:00:00+0000,54.0,2
20180101T20:05:00+0000,18.0,2
20180101T20:10:00+0000,16.0,2
20180101T20:15:00+0000,23.0,2
20180101T20:20:00+0000,10.0,2
20180101T20:25:00+0000,5.0,2
20180101T20:30:00+0000,4.0,2
20180101T20:35:00+0000,3.0,2
20180101T20:40:00+0000,2.0,2
20180101T20:45:00+0000,1.0,2
20180101T20:50:00+0000,0.0,2
20180101T20:55:00+0000,0.0,18
20180101T21:00:00+0000,0.0,18
20180101T21:05:00+0000,0.0,18
20180101T21:10:00+0000,0.0,18
20180101T21:15:00+0000,0.0,18
20180101T21:20:00+0000,0.0,18
20180101T21:25:00+0000,0.0,18
20180101T21:30:00+0000,0.0,18
20180101T21:35:00+0000,0.0,18
20180101T21:40:00+0000,0.0,18
20180101T21:45:00+0000,0.0,18
20180101T21:50:00+0000,0.0,18
20180101T21:55:00+0000,0.0,18
20180101T22:00:00+0000,0.0,18
20180101T22:05:00+0000,0.0,18
20180101T22:10:00+0000,0.0,18
20180101T22:15:00+0000,0.0,18
20180101T22:20:00+0000,0.0,18
20180101T22:25:00+0000,0.0,18
20180101T22:30:00+0000,0.0,18
20180101T22:35:00+0000,0.0,18
20180101T22:40:00+0000,0.0,18
20180101T22:45:00+0000,0.0,18
20180101T22:50:00+0000,0.0,18
20180101T22:55:00+0000,0.0,18
20180101T23:00:00+0000,0.0,18
20180101T23:05:00+0000,0.0,18
20180101T23:10:00+0000,0.0,18
20180101T23:15:00+0000,0.0,18
20180101T23:20:00+0000,0.0,18
20180101T23:25:00+0000,0.0,18
20180101T23:30:00+0000,0.0,18
20180101T23:35:00+0000,0.0,18
20180101T23:40:00+0000,0.0,18
20180101T23:45:00+0000,0.0,18
20180101T23:50:00+0000,0.0,18
20180101T23:55:00+0000,0.0,18
20180102T00:00:00+0000,0.0,18
20180102T00:05:00+0000,0.0,18
20180102T00:10:00+0000,0.0,18
20180102T00:15:00+0000,0.0,18
20180102T00:20:00+0000,0.0,18
20180102T00:25:00+0000,0.0,18
20180102T00:30:00+0000,0.0,18
20180102T00:35:00+0000,0.0,18
20180102T00:40:00+0000,0.0,18
20180102T00:45:00+0000,0.0,18
20180102T00:50:00+0000,0.0,18
20180102T00:55:00+0000,0.0,18
20180102T01:00:00+0000,0.0,18
20180102T01:05:00+0000,0.0,18
20180102T01:10:00+0000,0.0,18
20180102T01:15:00+0000,0.0,18
20180102T01:20:00+0000,0.0,18
20180102T01:25:00+0000,0.0,18
20180102T01:30:00+0000,0.0,18
20180102T01:35:00+0000,0.0,18
20180102T01:40:00+0000,0.0,18
20180102T01:45:00+0000,0.0,18
20180102T01:50:00+0000,0.0,18
20180102T01:55:00+0000,0.0,18
20180102T02:00:00+0000,0.0,18
20180102T02:05:00+0000,0.0,18
20180102T02:10:00+0000,0.0,18
20180102T02:15:00+0000,0.0,18
20180102T02:20:00+0000,0.0,18
20180102T02:25:00+0000,0.0,18
20180102T02:30:00+0000,0.0,18
20180102T02:35:00+0000,0.0,18
20180102T02:40:00+0000,0.0,18
20180102T02:45:00+0000,0.0,18
20180102T02:50:00+0000,0.0,18
20180102T02:55:00+0000,0.0,18
20180102T03:00:00+0000,0.0,18
20180102T03:05:00+0000,0.0,18
20180102T03:10:00+0000,0.0,18
20180102T03:15:00+0000,0.0,18
20180102T03:20:00+0000,0.0,18
20180102T03:25:00+0000,0.0,18
20180102T03:30:00+0000,0.0,18
20180102T03:35:00+0000,0.0,18
20180102T03:40:00+0000,0.0,18
20180102T03:45:00+0000,0.0,18
20180102T03:50:00+0000,0.0,18
20180102T03:55:00+0000,0.0,18
20180102T04:00:00+0000,0.0,18
20180102T04:05:00+0000,0.0,18
20180102T04:10:00+0000,0.0,18
20180102T04:15:00+0000,0.0,18
20180102T04:20:00+0000,0.0,18
20180102T04:25:00+0000,0.0,18
20180102T04:30:00+0000,0.0,18
20180102T04:35:00+0000,0.0,18
20180102T04:40:00+0000,0.0,18
20180102T04:45:00+0000,0.0,18
20180102T04:50:00+0000,0.0,18
20180102T04:55:00+0000,0.0,18
20180102T05:00:00+0000,0.0,18
20180102T05:05:00+0000,0.0,18
20180102T05:10:00+0000,0.0,18
20180102T05:15:00+0000,0.0,18
20180102T05:20:00+0000,0.0,18
20180102T05:25:00+0000,0.0,18
20180102T05:30:00+0000,0.0,18
20180102T05:35:00+0000,0.0,18
20180102T05:40:00+0000,0.0,18
20180102T05:45:00+0000,0.0,18
20180102T05:50:00+0000,0.0,18
20180102T05:55:00+0000,0.0,18
20180102T06:00:00+0000,0.0,18
20180102T06:05:00+0000,0.0,18
20180102T06:10:00+0000,0.0,18
20180102T06:15:00+0000,0.0,18
20180102T06:20:00+0000,0.0,18
20180102T06:25:00+0000,0.0,18
20180102T06:30:00+0000,0.0,18
20180102T06:35:00+0000,0.0,18
20180102T06:40:00+0000,0.0,18
20180102T06:45:00+0000,0.0,18
20180102T06:50:00+0000,0.0,18
20180102T06:55:00+0000,0.0,18
20180102T07:00:00+0000,0.0,18
20180102T07:05:00+0000,0.0,18
20180102T07:10:00+0000,0.0,18
20180102T07:15:00+0000,0.0,18
20180102T07:20:00+0000,0.0,18
20180102T07:25:00+0000,0.0,18
20180102T07:30:00+0000,0.0,18
20180102T07:35:00+0000,0.0,18
20180102T07:40:00+0000,0.0,18
20180102T07:45:00+0000,0.0,18
20180102T07:50:00+0000,0.0,18
20180102T07:55:00+0000,0.0,18
20180102T08:00:00+0000,0.0,18
20180102T08:05:00+0000,0.0,18
20180102T08:10:00+0000,0.0,18
20180102T08:15:00+0000,0.0,18
20180102T08:20:00+0000,0.0,18
20180102T08:25:00+0000,0.0,18
20180102T08:30:00+0000,0.0,18
20180102T08:35:00+0000,0.0,18
20180102T08:40:00+0000,0.0,18
20180102T08:45:00+0000,0.0,18
20180102T08:50:00+0000,0.0,18
20180102T08:55:00+0000,0.0,18
20180102T09:00:00+0000,0.0,18
20180102T09:05:00+0000,0.0,18
20180102T09:10:00+0000,0.0,18
20180102T09:15:00+0000,0.0,18
20180102T09:20:00+0000,0.0,18
20180102T09:25:00+0000,0.0,18
20180102T09:30:00+0000,0.0,18
20180102T09:35:00+0000,0.0,18
20180102T09:40:00+0000,0.0,18
20180102T09:45:00+0000,0.0,18
20180102T09:50:00+0000,0.0,18
20180102T09:55:00+0000,0.0,18
20180102T10:00:00+0000,0.0,18
20180102T10:05:00+0000,0.0,18
20180102T10:10:00+0000,0.0,18
20180102T10:15:00+0000,0.0,18
20180102T10:20:00+0000,0.0,18
20180102T10:25:00+0000,0.0,18
20180102T10:30:00+0000,0.0,18
20180102T10:35:00+0000,0.0,18
20180102T10:40:00+0000,0.0,18
20180102T10:45:00+0000,0.0,18
20180102T10:50:00+0000,0.0,18
20180102T10:55:00+0000,0.0,18
20180102T11:00:00+0000,0.0,18
20180102T11:05:00+0000,0.0,18
20180102T11:10:00+0000,0.0,18
20180102T11:15:00+0000,0.0,18
20180102T11:20:00+0000,0.0,18
20180102T11:25:00+0000,0.0,18
20180102T11:30:00+0000,0.0,18
20180102T11:35:00+0000,0.0,18
20180102T11:40:00+0000,0.0,18
20180102T11:45:00+0000,0.0,18
20180102T11:50:00+0000,0.0,18
20180102T11:55:00+0000,0.0,18
20180102T12:00:00+0000,0.0,18
20180102T12:05:00+0000,0.0,18
20180102T12:10:00+0000,0.0,18
20180102T12:15:00+0000,0.0,18
